iter	Passed	Remaining
0	1	157
1	2	146
2	4	140
3	5	135
4	6	132
5	8	133
6	10	133
7	11	131
8	12	129
9	14	126
10	15	124
11	16	122
12	17	120
13	19	118
14	20	116
15	21	115
16	23	113
17	24	112
18	26	112
19	27	110
20	28	108
21	30	106
22	31	104
23	32	103
24	33	101
25	35	99
26	36	98
27	37	96
28	38	94
29	40	93
30	41	92
31	43	91
32	44	90
33	45	89
34	47	87
35	48	86
36	49	84
37	51	83
38	52	82
39	53	80
40	55	79
41	56	78
42	58	77
43	59	76
44	61	74
45	62	73
46	63	72
47	65	70
48	66	69
49	67	67
50	69	66
51	70	65
52	72	63
53	74	63
54	75	61
55	76	60
56	78	59
57	79	57
58	80	56
59	82	54
60	83	53
61	84	52
62	86	50
63	87	49
64	89	48
65	91	47
66	92	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	105	33
76	106	31
77	107	30
78	108	28
79	110	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	120	16
88	122	15
89	123	13
90	124	12
91	126	10
92	127	9
93	128	8
94	130	6
95	131	5
96	132	4
97	134	2
98	135	1
99	137	0
